table_start	slot	method_address	method_name	root_method
1806c07b8	0	180694a80	FUN_180694a80	true
1806c07b8	1	180694a20	FUN_180694a20	true
1806c07b8	2	180694a30	FUN_180694a30	true
1806c07b8	3	180694050	FUN_180694050	true
1806c07b8	4	1806941f0	FUN_1806941f0	true
1806c07b8	5	180694390	FUN_180694390	true
1806c07b8	6	180694900	FUN_180694900	true
1806c07b8	7	180694d60	FUN_180694d60	true
1806c07b8	8	180695060	GetProcessorCapabilities	true
1806c07b8	9	180695510	OnDeviceAttached	true
1806c07b8	10	1806956b0	OnDeviceDetached	true
1806c07b8	11	1806957b0	OnSystemContextMessage	true
1806c07b8	12	180695ad0	OnDeviceReset	true
